#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Wed Feb 13 19:44:38 EST 2019,19,19,Assignment2Suite,EmptyTest0+ EmptyTest1+ RemoveTest0+ RemoveTest7+ SizeTest0+ , ,ContainsTest0- ContainsTest1- EfficiencyTest1- FindMinMaxTest0- FindMinMaxTest1- FindMinMaxTest2- HeightTest- InsertAfterRemoveTest0- InsertAfterRemoveTest1- InsertAfterRemoveTest2- InsertTest0- InsertTest1- InsertTest2- RemoveTest1- RemoveTest2- RemoveTest3- RemoveTest4- RemoveTest5- RemoveTest6- SizeTest1- SizeTest2- , ,
1,Wed Feb 13 19:44:50 EST 2019,19,0,InsertAfterRemoveTestSuite,EmptyTest0 EmptyTest1 RemoveTest0 RemoveTest7 SizeTest0 , ,ContainsTest0 ContainsTest1 EfficiencyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest1 SizeTest2 , ,
2,Wed Feb 13 19:44:51 EST 2019,19,0,InsertAfterRemoveTestSuite,EmptyTest0 EmptyTest1 RemoveTest0 RemoveTest7 SizeTest0 , ,ContainsTest0 ContainsTest1 EfficiencyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest1 SizeTest2 , ,
3,Wed Feb 13 19:56:45 EST 2019,19,0,Assignment2Suite,EmptyTest0 EmptyTest1 RemoveTest0 RemoveTest7 SizeTest0 , ,ContainsTest0 ContainsTest1 EfficiencyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest1 SizeTest2 , ,
4,Wed Feb 13 19:59:26 EST 2019,19,0,Assignment2Suite,EmptyTest0 EmptyTest1 RemoveTest0 RemoveTest7 SizeTest0 , ,ContainsTest0 ContainsTest1 EfficiencyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest1 SizeTest2 , ,
5,Wed Feb 13 19:59:30 EST 2019,19,0,InsertAfterRemoveTestSuite,EmptyTest0 EmptyTest1 RemoveTest0 RemoveTest7 SizeTest0 , ,ContainsTest0 ContainsTest1 EfficiencyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest1 SizeTest2 , ,
6,Wed Feb 13 19:59:30 EST 2019,19,0,InsertAfterRemoveTestSuite,EmptyTest0 EmptyTest1 RemoveTest0 RemoveTest7 SizeTest0 , ,ContainsTest0 ContainsTest1 EfficiencyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest1 SizeTest2 , ,
7,Wed Feb 13 19:59:36 EST 2019,19,0,EmptyTestSuite,EmptyTest0 EmptyTest1 RemoveTest0 RemoveTest7 SizeTest0 , ,ContainsTest0 ContainsTest1 EfficiencyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest1 SizeTest2 , ,
8,Wed Feb 13 19:59:37 EST 2019,19,0,EmptyTestSuite,EmptyTest0 EmptyTest1 RemoveTest0 RemoveTest7 SizeTest0 , ,ContainsTest0 ContainsTest1 EfficiencyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest1 SizeTest2 , ,
9,Wed Feb 13 20:02:51 EST 2019,19,0,Assignment2Suite,EmptyTest0 EmptyTest1 RemoveTest0 RemoveTest7 SizeTest0 , ,ContainsTest0 ContainsTest1 EfficiencyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest1 SizeTest2 , ,
